original_image,original_image_id,duplicate_image,hash
arthropoda_formicidae/29638873_889096_eol-full-size-copy.jpg,29e1f2d0-2665-470e-9f94-c76c888c4794,arthropoda_formicidae/14647056_889096_eol-full-size-copy.jpg,bb8794da4aa58c8e
arthropoda_formicidae/29638449_476649_eol-full-size-copy.jpg,75fda7d5-8831-4b27-98af-5ec5c877fcd6,arthropoda_formicidae/14608600_476649_eol-full-size-copy.jpg,8b2a74e13a33e58e
echinodermata_stichopodidae/22180228_2984557_eol-full-size-copy.jpg,e78fbc7d-5cdd-4a16-b626-bad34ffd0d32,echinodermata_stichopodidae/14048637_2984557_eol-full-size-copy.jpg,985ad0340fb53d8f
chordata_fringillidae/22375404_45518969_eol-full-size-copy.jpg,83bfc50b-1b1d-4623-980b-64a604a2c11b,chordata_fringillidae/2745972_45518969_eol-full-size-copy.jpg,9e43537a39a3642d
chordata_cercopithecidae/28745816_311183_eol-full-size-copy.jpg,57f1736a-01ff-4e42-82cb-4ffc41f37e41,chordata_cercopithecidae/11765_311183_eol-full-size-copy.jpg,bcc3d1191a7769c8
chordata_vangidae/28914704_45514240_eol-full-size-copy.jpg,633a2077-f36e-4fbe-aff5-aa1ce35dd3b2,chordata_vangidae/16228_45514240_eol-full-size-copy.jpg,872b30f01d0f0ffc
echinodermata_stichopodidae/29384422_2984557_eol-full-size-copy.jpg,cfee0e76-c70c-4b26-9c91-9f00bf35d2ae,echinodermata_stichopodidae/14048636_2984557_eol-full-size-copy.jpg,c557c1691b4b7299
arthropoda_formicidae/28918247_620300_eol-full-size-copy.jpg,384321c9-5183-469e-917d-5c892f67209f,arthropoda_formicidae/14668792_620300_eol-full-size-copy.jpg,e719323878d3c9c6
chordata_balistidae/28745800_46570656_eol-full-size-copy.jpg,b3990453-1297-4517-b805-eeae8fe92489,chordata_balistidae/5001_46570656_eol-full-size-copy.jpg,b693c06c3f3270cd
chordata_elapidae/29473738_1055803_eol-full-size-copy.jpg,d120fac8-1e6d-486c-bf81-d0016a7e5810,chordata_elapidae/29473740_1055803_eol-full-size-copy.jpg,c15926ce4dabc83d
chordata_trochilidae/12591_45512248_eol-full-size-copy.jpg,0dfe30fd-6f4f-49c8-9b2d-6e07b26ee528,chordata_trochilidae/28769504_45512248_eol-full-size-copy.jpg,b46dc39a3ac63664
chordata_fringillidae/22375401_45518969_eol-full-size-copy.jpg,292693eb-ac0c-4fdd-8864-83d5230c170c,chordata_fringillidae/2745975_45518969_eol-full-size-copy.jpg,c3b9361ed9c36630
arthropoda_coenagrionidae/20710779_1001090_eol-full-size-copy.jpg,2b140153-e137-4922-a422-fc2f0c29f587,arthropoda_coenagrionidae/2729380_1001090_eol-full-size-copy.jpg,8fc3b33779a05035
mollusca_unionidae/2744866_449459_eol-full-size-copy.jpg,2bc037b0-1633-4fe1-a89e-7bba1ecbee49,mollusca_unionidae/21566257_449459_eol-full-size-copy.jpg,f59287499a9b9a64
chordata_trochilidae/28748641_45512251_eol-full-size-copy.jpg,67b9c848-2ea6-45aa-b485-d10477f83199,chordata_trochilidae/12592_45512251_eol-full-size-copy.jpg,a669cc869cd93333
chordata_anatidae/11811_45513542_eol-full-size-copy.jpg,a24eec96-c554-4b30-a46d-47c1e5f2bde5,chordata_anatidae/28742324_45513542_eol-full-size-copy.jpg,bec0c13b923ccf34
chordata_syngnathidae/2719048_46567809_eol-full-size-copy.jpg,dcf26fe9-4adf-4f09-a440-62dd301cafbe,chordata_syngnathidae/22880315_46567809_eol-full-size-copy.jpg,ad6acd116e4be246
chordata_spheniscidae/2703530_45512084_eol-full-size-copy.jpg,b727f3d0-2ec6-4af1-a4a7-3cd54832650e,chordata_spheniscidae/21012863_45512084_eol-full-size-copy.jpg,cacd81cb1dbdc183
arthropoda_platystictidae/29911908_132324_eol-full-size-copy.jpg,b3a49b40-bee1-429e-9ab5-7b97bb21fb35,arthropoda_platystictidae/29911928_132324_eol-full-size-copy.jpg,a946d629da55932b
chordata_elapidae/29473737_1055803_eol-full-size-copy.jpg,0dccf4f0-240f-44f1-8fa2-efbc7d5cb47a,chordata_elapidae/22401518_1055803_eol-full-size-copy.jpg,ba1b651cb38a7e44
chordata_myliobatidae/28750023_46561008_eol-full-size-copy.jpg,9b5faacb-e075-4c2e-abd2-11da7cf5613b,chordata_myliobatidae/6351_46561008_eol-full-size-copy.jpg,ec4e833992e17a96
chordata_strigopidae/28760429_45517890_eol-full-size-copy.jpg,1611c0c0-ee1f-4111-b754-88f1cbb366ee,chordata_strigopidae/3183_45517890_eol-full-size-copy.jpg,bb4ac0b587423ecb
chordata_alopiidae/28750231_46559744_eol-full-size-copy.jpg,3721964e-25ef-4755-9748-147c76c0e95a,chordata_alopiidae/6277_46559744_eol-full-size-copy.jpg,ee3c9c6c91c1c3c5
chordata_potoroidae/29407285_128419_eol-full-size-copy.jpg,45f483be-0714-4d53-8e2b-23d005172762,chordata_potoroidae/14037835_128419_eol-full-size-copy.jpg,c42e1663d3fc780e
chordata_vangidae/28914699_45514240_eol-full-size-copy.jpg,8f5bae4a-1568-4e0f-8aa4-41e62bc448fa,chordata_vangidae/16263_45514240_eol-full-size-copy.jpg,b0ccce311b9b3366
chordata_strigopidae/28760428_45517890_eol-full-size-copy.jpg,cd567413-4503-47fd-af5d-31f7734fdc8d,chordata_strigopidae/2626_45517890_eol-full-size-copy.jpg,ed3290c96fe53432
chordata_psittacidae/28754839_1178056_eol-full-size-copy.jpg,3817b825-3ae8-4f7c-a23c-96c2a7cc2438,chordata_psittacidae/16192_1178056_eol-full-size-copy.jpg,e9329249cdcd6696
chordata_falconidae/10188_45512605_eol-full-size-copy.jpg,a94d333c-d2f1-423f-95a9-fa3b3755f70b,chordata_falconidae/28753615_45512605_eol-full-size-copy.jpg,e46ddb9832e74c18
chordata_salmonidae/14124337_46563153_eol-full-size-copy.jpg,91e709d0-e2fe-46d3-aea3-cd953729e613,chordata_salmonidae/20515572_46563153_eol-full-size-copy.jpg,aac8bfcafc3042cc
chordata_columbidae/18218_45509438_eol-full-size-copy.jpg,b2935773-7a9d-4ab8-a417-ab9a86f96bcc,chordata_columbidae/28742677_45509438_eol-full-size-copy.jpg,ed899236a44dd933
arthropoda_platystictidae/29911918_132324_eol-full-size-copy.jpg,9f8a57f8-c805-42aa-8fa4-4583bdb2ce7f,arthropoda_platystictidae/29911931_132324_eol-full-size-copy.jpg,f4baedd8a6291216
chordata_vombatidae/29776109_47048632_eol-full-size-copy.jpg,89650517-4f64-43c6-9927-9cca1a4e2914,chordata_vombatidae/22292557_47048632_eol-full-size-copy.jpg,86756637c80fb14d
arthropoda_coenagrionidae/20710764_1001090_eol-full-size-copy.jpg,329859b3-a5a9-49b0-b436-4ad4f93afaae,arthropoda_coenagrionidae/2729378_1001090_eol-full-size-copy.jpg,e1c2a5385ead1a5b
chordata_potoroidae/14037836_128419_eol-full-size-copy.jpg,44744591-c43d-4b18-a417-2cb8948e2de8,chordata_potoroidae/29407293_128419_eol-full-size-copy.jpg,8f3c13b1d9cf0c85
arthropoda_formicidae/14608596_476649_eol-full-size-copy.jpg,3583c4d8-a689-4e76-aea8-d987b36d0a1f,arthropoda_formicidae/29638445_476649_eol-full-size-copy.jpg,fe3f01107c0f81f6
chordata_emydidae/29972872_1056842_eol-full-size-copy.jpg,d7917261-09fa-443f-88c5-4f830a512c25,chordata_emydidae/29972877_1056842_eol-full-size-copy.jpg,e6839cd3127e892d
chordata_acipenseridae/9308_46561170_eol-full-size-copy.jpg,609381c6-72bc-49b6-8ecf-2e5a18a87680,chordata_acipenseridae/28762222_46561170_eol-full-size-copy.jpg,fbc5943ac03699cc
